state_id,state_name,state_abbr,state_region,updated_at
1,Alabama,AL,south,2023-04-26 17:07:44.614409+00:00
2,Alaska,AK,north,2023-04-26 17:07:44.614409+00:00
3,Arizona,AZ,west,2023-04-26 17:07:44.614409+00:00
4,Arkansas,AR,south,2023-04-26 17:07:44.614409+00:00
5,California,CA,west,2023-04-26 17:07:44.614409+00:00
6,Colorado,CO,west,2023-04-26 17:07:44.614409+00:00
7,Connecticut,CT,east,2023-04-26 17:07:44.614409+00:00
8,Delaware,DE,east,2023-04-26 17:07:44.614409+00:00
9,District of Columbia,DC,east,2023-04-26 17:07:44.614409+00:00
10,Florida,FL,south,2023-04-26 17:07:44.614409+00:00
11,Georgia,GA,south,2023-04-26 17:07:44.614409+00:00
12,Hawaii,HI,west,2023-04-26 17:07:44.614409+00:00
13,Idaho,ID,midwest,2023-04-26 17:07:44.614409+00:00
14,Illinois,IL,midwest,2023-04-26 17:07:44.614409+00:00
15,Indiana,IN,midwest,2023-04-26 17:07:44.614409+00:00
16,Iowa,IO,midwest,2023-04-26 17:07:44.614409+00:00
17,Kansas,KS,midwest,2023-04-26 17:07:44.614409+00:00
18,Kentucky,KY,south,2023-04-26 17:07:44.614409+00:00
19,Louisiana,LA,south,2023-04-26 17:07:44.614409+00:00
20,Maine,ME,north,2023-04-26 17:07:44.614409+00:00
21,Maryland,MD,east,2023-04-26 17:07:44.614409+00:00
22,Massachusetts,MA,north,2023-04-26 17:07:44.614409+00:00
23,Michigan,MI,north,2023-04-26 17:07:44.614409+00:00
24,Minnesota,MN,north,2023-04-26 17:07:44.614409+00:00
25,Mississippi,MS,south,2023-04-26 17:07:44.614409+00:00
26,Missouri,MO,south,2023-04-26 17:07:44.614409+00:00
27,Montana,MT,west,2023-04-26 17:07:44.614409+00:00
28,Nebraska,NE,midwest,2023-04-26 17:07:44.614409+00:00
29,Nevada,NV,west,2023-04-26 17:07:44.614409+00:00
30,New Hampshire,NH,east,2023-04-26 17:07:44.614409+00:00
31,New Jersey,NJ,east,2023-04-26 17:07:44.614409+00:00
32,New Mexico,NM,west,2023-04-26 17:07:44.614409+00:00
33,New York,NY,east,2023-04-26 17:07:44.614409+00:00
34,North Carolina,NC,east,2023-04-26 17:07:44.614409+00:00
35,North Dakota,ND,midwest,2023-04-26 17:07:44.614409+00:00
36,Ohio,OH,midwest,2023-04-26 17:07:44.614409+00:00
37,Oklahoma,OK,midwest,2023-04-26 17:07:44.614409+00:00
38,Oregon,OR,west,2023-04-26 17:07:44.614409+00:00
39,Pennsylvania,PA,east,2023-04-26 17:07:44.614409+00:00
40,Rhode Island,RI,east,2023-04-26 17:07:44.614409+00:00
41,South Carolina,SC,east,2023-04-26 17:07:44.614409+00:00
42,South Dakota,SD,midwest,2023-04-26 17:07:44.614409+00:00
43,Tennessee,TN,midwest,2023-04-26 17:07:44.614409+00:00
44,Texas,TX,west,2023-04-26 17:07:44.614409+00:00
45,Utah,UT,west,2023-04-26 17:07:44.614409+00:00
46,Vermont,VT,east,2023-04-26 17:07:44.614409+00:00
47,Virginia,VA,east,2023-04-26 17:07:44.614409+00:00
48,Washington,WA,west,2023-04-26 17:07:44.614409+00:00
49,West Virginia,WV,south,2023-04-26 17:07:44.614409+00:00
50,Wisconsin,WI,midwest,2023-04-26 17:07:44.614409+00:00
51,Wyoming,WY,west,2023-04-26 17:07:44.614409+00:00
